ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_is_cornerstone,Meta: _yoast_wpseo_content_score,Meta: _download_type,Meta: _yoast_wpseo_focuskw_text_input,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _wpas_done_all
882,simple,,Double T8 Lighting fixture with Radium LED,1,0,visible,C.P Intelux Light fitting with double Radium LED Tubes,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/Intelux-T8.LIGHTING.pdf"">Click here for product specification</a>",,,taxable,,1,,,0,0,,,,,0,,,,HILCLARE LIGHTING RANGE,"Radium LED, T8 LED LIght, T8 Light fixture with Radium LED",,"https://www.derrywood.com/wp-content/uploads/2017/05/T8-Intelux-2-x-Radium-LED.png, https://www.derrywood.com/wp-content/uploads/2017/05/radium-t8-image.jpg",,,,,,,,,0,48,,30,,,,,,,
902,simple,,Single T8 Lighting fixture with Radium LED,1,1,visible,Intelux T8 single light fixture with Radium LED tubing inside.,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/Intelux-T8.LIGHTING.pdf"">Click here for product specification</a>",,,taxable,,1,,,0,0,,,,,0,,,,HILCLARE LIGHTING RANGE,"Intelux, T8 Light fixture with Radium LED, T8 Lighting system",,"https://www.derrywood.com/wp-content/uploads/2017/05/intelux-single-led-t8-2.png, https://www.derrywood.com/wp-content/uploads/2017/05/radium-t8-image.jpg",,,,,,,,,0,48,,30,,,,,,,
923,simple,,Radium 4ft LED Lamp,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/radium-4ft-led.pdf"">Radium 4ft LED specification</a>",,,taxable,,1,,,0,0,,,,,0,,,,HILCLARE LIGHTING RANGE,Radium LED Lights,,"https://www.derrywood.com/wp-content/uploads/2017/05/Radium-lamp.jpg, https://www.derrywood.com/wp-content/uploads/2017/05/radium-t8-image.jpg",,,,,,,,,0,48,,30,,,,,,,
926,simple,,Radium 5ft LED Lamp,1,0,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/Radium-5ft-led-1.pdf"">Radium 5ft LED specification</a>",,,taxable,,1,,,0,0,,,,,0,,,,HILCLARE LIGHTING RANGE,"LED TUBE Lighting, Radium 5ft LED Lamps",,"https://www.derrywood.com/wp-content/uploads/2017/05/radium-t8-image.jpg, https://www.derrywood.com/wp-content/uploads/2017/05/Radium-lamp.jpg",,,,,,,,,0,48,,30,,,,,,,
932,simple,1,Gw44204,1,1,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/GW-44204.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/05/GW-44204-300x156.png"" alt="""" width=""300"" height=""156"" class=""alignnone size-medium wp-image-933"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,gw44204,,https://www.derrywood.com/wp-content/uploads/2017/05/GW44204.jpg,,,,,,,,,0,14,,30,,,,,,,
947,simple,,GW27831,1,0,visible,WATERTIGHT ENCLOSURE COMPLETE WITH ONE-WAY SWITCH 1P 16AX - IP55 - RAL 7035 GREY,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/GW27831.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/05/GW27831-300x159.png"" alt="""" width=""300"" height=""159"" class=""alignnone size-medium wp-image-948"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range,"GW27831, WATERTIGHT SWITCHES",,https://www.derrywood.com/wp-content/uploads/2017/05/GW27831.jpg,,,,,,,,,0,24,,30,,,,,,,
951,simple,,GW60026h,1,0,visible,"STRAIGHT PLUG HP - IP66/IP67/IP68/IP69 - 2P+E 16A 200-250V 50/60HZ - BLUE - 6H - FAST WIRING 
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/GW60026FH.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/05/GW60026FH-300x150.png"" alt="""" width=""300"" height=""150"" class=""alignnone size-medium wp-image-952"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > IP 67 Plugs,"16 amp plug, 220v plug, gewiss industrial plugs, Gewiss Plugs, gw60026h, industrial plugs, trailing plug",,https://www.derrywood.com/wp-content/uploads/2017/05/GW60026.jpg,,,,,,,,,0,189,,30,,,,,,,
975,simple,,Motion Activated LED Lighting,1,1,visible,,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/05/Motion-sensor-bed-lighting.pdf"">Motion Sensor LED Strip Lighting</a>",,,taxable,,1,,,0,0,,,,,0,,,,LED Strip Lighting,"Motion activated LED, Under bed lighting",,"https://www.derrywood.com/wp-content/uploads/2017/05/under-bed-lighting.jpg, https://www.derrywood.com/wp-content/uploads/2017/05/underbed-lighting.jpg",,,,,,,,,0,23,,30,,,,,,,
1015,simple,,Gw44205,1,0,visible,"JUNCTION BOXES WITH PLAIN SCREWED LID - IP55 - INTERNAL DIMENSIONS 120X80X50 - WALLS WITH CABLE GLANDS 
\n
\n","<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44205-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44205-spec-300x150.png"" alt="""" width=""300"" height=""150"" class=""alignnone size-medium wp-image-1016"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Gewiss, gw44205, Junction Box",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44205-1.jpg,,,,,,,,,0,14,,30,,,,,,,
1020,simple,,Gw44207,1,0,visible,JUNCTION BOXES WITH PLAIN SCREWED LID - IP56 - INTERNAL DIMENSIONS 190X140X70 - SMOOTH WALLS,"<a href=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44207-spec.png""><img src=""http://www.derrywood.com/wp-content/uploads/2017/06/gw44207-spec-300x163.png"" alt="""" width=""300"" height=""163"" class=""alignnone size-medium wp-image-1021"" /></a>",,,taxable,,1,,,0,0,,,,,0,,,,Gewiss Power Range > Enclosures,"Enclosure, Gewiss, gw44207, Junction Box",,https://www.derrywood.com/wp-content/uploads/2017/06/gw44207.jpg,,,,,,,,,0,14,,30,,,,,,,
