id,title,status,is_featured,brand,iebg price,kellihers price,independence price,EWL price
89,GW20208,active,1,Gewiss,6.11,6.11,7.44,6.11
90,GW20503,active,1,Gewiss,4.95,4.95,4.95,4.95
91,GW20504,active,0,Gewiss,6.79,6.79,6.79,6.79
92,GW20510,active,0,Gewiss,3.07,3.07,3.07,3.07
93,GW20512,active,1,Gewiss,4.95,4.95,4.95,4.95
94,GW20521,active,0,Gewiss,5.49,5.49,5.49,5.49
95,GW20528,active,1,Gewiss,5.15,5.15,5.15,5.15
96,GW20571,active,1,Gewiss,2.73,2.73,2.73,2.73
97,GW20572,active,1,Gewiss,5.36,5.36,5.36,5.36
98,GW20576,active,0,Gewiss,2.69,2.69,3.28,2.69
99,GW20577,active,0,Gewiss,4.93,4.93,6.01,4.93
100,GW20579,active,1,Gewiss,5.66,5.66,5.66,5.66
101,GW26410,active,1,Gewiss,1.30,1.30,1.30,1.30
102,GW27401,active,0,Gewiss,4.40,4.40,4.40,4.40
103,GW27415,active,0,Gewiss,7.30,7.30,7.30,7.30
104,GW27416,active,0,Gewiss,7.30,7.30,7.30,7.30
105,GW27417,active,0,Gewiss,7.30,7.30,7.30,7.30
106,GW27418,active,0,Gewiss,7.30,7.30,7.30,7.30
107,GW27419,active,1,Gewiss,7.30,7.30,7.30,7.30
108,GW27831,active,0,Gewiss,4.83,4.83,5.17,4.83
109,GW27832,active,1,Gewiss,6.68,6.68,7.16,6.68
110,GW27833,active,0,Gewiss,5.24,5.24,5.61,5.24
111,GW27834,active,1,Gewiss,7.79,7.79,8.34,7.79
112,GW27843,active,1,Gewiss,8.40,8.40,9.00,8.40
113,GW40001,active,0,Gewiss,10.16,10.16,10.89,10.16
114,GW40003,active,0,Gewiss,13.99,13.99,14.99,13.99
115,GW40005,active,0,Gewiss,35.35,35.35,35.35,35.35
116,GW40009,active,1,Gewiss,78.49,78.49,78.49,78.49
117,GW40022,active,0,Gewiss,2.37,2.37,2.54,2.37
118,GW40023,active,0,Gewiss,3.41,3.41,3.66,3.41
119,GW40024,active,1,Gewiss,6.52,6.52,6.52,6.52
120,GW40026,active,0,Gewiss,9.01,9.01,9.01,9.01
121,GW40028,active,1,Gewiss,15.22,15.22,15.22,15.22
122,GW40030,active,0,Gewiss,24.30,24.30,24.30,24.30
123,GW40032,active,1,Gewiss,32.76,32.76,32.76,32.76
124,GW40101,active,1,Gewiss,16.65,16.65,16.65,16.65
125,GW40102,active,1,Gewiss,17.13,17.13,20.88,17.13
126,GW40103,active,0,Gewiss,38.36,38.36,38.36,38.36
127,GW40104,active,0,Gewiss,60.67,60.67,60.67,60.67
128,GW40105,active,1,Gewiss,86.00,86.00,86.00,86.00
129,GW40106,active,1,Gewiss,50.78,50.78,50.78,50.78
130,GW40107,active,0,Gewiss,87.36,87.36,87.36,87.36
131,GW40108,active,1,Gewiss,142.64,142.64,142.64,142.64
132,GW40109,active,1,Gewiss,212.94,212.94,212.94,212.94
133,GW40113,active,1,Gewiss,44.13,44.13,53.78,44.13
134,GW40114,active,1,Gewiss,79.17,79.17,79.17,79.17
135,GW40115,active,0,Gewiss,123.53,123.53,123.53,123.53
136,GW40123,active,1,Gewiss,61.15,61.15,61.15,61.15
137,GW40124,active,1,Gewiss,86.00,86.00,86.00,86.00
138,GW40401,active,0,Gewiss,6.55,6.55,7.99,6.55
139,GW40402,active,1,Gewiss,13.58,13.58,13.58,13.58
140,GW40404,active,1,Gewiss,20.61,20.61,20.61,20.61
141,GW40601,active,1,Gewiss,3.41,3.41,3.41,3.41
142,GW40602,active,1,Gewiss,9.01,9.01,9.01,9.01
143,GW40603,active,0,Gewiss,12.83,12.83,12.83,12.83
144,GW40604,active,1,Gewiss,16.24,16.24,16.24,16.24
145,GW40605,active,0,Gewiss,20.75,20.75,20.75,20.75
146,GW40608,active,0,Gewiss,42.45,42.45,42.45,42.45
147,GW44001,active,1,Gewiss,0.92,0.92,1.13,0.92
148,GW44002,active,1,Gewiss,1.17,1.17,1.43,1.17
149,GW44003,active,0,Gewiss,1.40,1.40,1.71,1.40
150,GW44004,active,0,Gewiss,2.72,2.72,3.31,2.72
151,GW44005,active,1,Gewiss,2.97,2.97,3.62,2.97
152,GW44006,active,0,Gewiss,4.51,4.51,5.49,4.51
153,GW44007,active,1,Gewiss,8.63,8.63,10.51,8.63
154,GW44008,active,1,Gewiss,17.54,17.54,17.54,17.54
155,GW44009,active,1,Gewiss,31.74,31.74,31.74,31.74
156,GW44010,active,0,Gewiss,42.38,42.38,42.38,42.38
157,GW44011,active,1,Gewiss,59.92,59.92,59.92,59.92
158,GW44024,active,1,Gewiss,3.31,3.31,3.31,3.31
159,GW44026,active,1,Gewiss,5.49,5.49,5.49,5.49
160,GW44051,active,1,Gewiss,1.43,1.43,1.43,1.43
161,GW44053,active,1,Gewiss,2.12,2.12,2.12,2.12
162,GW44054,active,1,Gewiss,3.89,3.89,3.89,3.89
163,GW44056,active,0,Gewiss,6.79,6.79,6.79,6.79
164,GW44057,active,0,Gewiss,12.90,12.90,12.90,12.90
165,GW44058,active,1,Gewiss,21.16,21.16,21.60,21.16
166,GW44204,active,0,Gewiss,2.03,2.03,2.17,2.03
167,GW44205,active,1,Gewiss,2.08,2.08,2.23,2.08
168,GW44206,active,1,Gewiss,3.01,3.01,3.23,3.01
169,GW44207,active,0,Gewiss,6.04,6.04,6.47,6.04
170,GW44208,active,1,Gewiss,9.89,9.89,10.60,9.89
171,GW44209,active,1,Gewiss,17.51,17.51,18.73,17.51
172,GW44210,active,0,Gewiss,25.41,25.41,27.23,25.41
173,GW44211,active,0,Gewiss,38.03,38.03,40.74,38.03
174,GW44214,active,1,Gewiss,3.89,3.89,4.17,3.89
175,GW44215,active,0,Gewiss,3.89,3.89,4.17,3.89
176,GW44216,active,0,Gewiss,5.83,5.83,6.24,5.83
177,GW44217,active,1,Gewiss,9.97,9.97,10.69,9.97
178,GW44218,active,0,Gewiss,15.40,15.40,16.50,15.40
179,GW44219,active,0,Gewiss,26.49,26.49,28.39,26.49
180,GW44220,active,0,Gewiss,35.51,35.51,38.04,35.51
181,GW44221,active,0,Gewiss,51.24,51.24,54.90,51.24
182,GW44234,active,1,Gewiss,3.17,3.17,3.17,3.17
183,GW44236,active,0,Gewiss,4.74,4.74,4.74,4.74
184,GW44426,active,0,Gewiss,10.31,10.31,10.31,10.31
185,GW44427,active,0,Gewiss,18.91,18.91,18.91,18.91
186,GW44428,active,1,Gewiss,29.48,29.48,29.48,29.48
187,GW44429,active,0,Gewiss,42.38,42.38,42.38,42.38
188,GW44430,active,1,Gewiss,61.29,61.29,61.29,61.29
189,GW44431,active,1,Gewiss,87.36,87.36,87.36,87.36
190,GW44436,active,1,Gewiss,15.15,15.15,15.15,15.15
191,GW44437,active,0,Gewiss,23.21,23.21,23.21,23.21
192,GW44438,active,1,Gewiss,35.29,35.29,35.29,35.29
193,GW44439,active,1,Gewiss,49.41,49.41,49.41,49.41
194,GW44440,active,1,Gewiss,75.76,75.76,75.76,75.76
195,GW44441,active,1,Gewiss,103.06,103.06,103.06,103.06
196,GW44615,active,1,Gewiss,2.53,2.53,2.53,2.53
197,GW44616,active,0,Gewiss,3.69,3.69,3.69,3.69
198,GW44617,active,0,Gewiss,5.36,5.36,5.36,5.36
199,GW44618,active,0,Gewiss,15.70,15.70,15.70,15.70
200,GW44619,active,0,Gewiss,19.18,19.18,19.18,19.18
201,GW44621,active,0,Gewiss,0.35,0.35,0.35,0.35
202,GW50428,active,0,Gewiss,0.12,0.12,0.12,0.12
203,GW50429,active,1,Gewiss,0.14,0.14,0.14,0.14
204,GW50430,active,1,Gewiss,0.17,0.17,0.17,0.17
205,GW50431,active,1,Gewiss,0.19,0.19,0.19,0.19
206,GW50432,active,1,Gewiss,0.39,0.39,0.39,0.39
207,GW60001H,active,1,Gewiss,1.85,1.85,1.99,1.85
208,GW60004H,active,0,Gewiss,1.85,1.85,1.99,1.85
209,GW60008H,active,1,Gewiss,4.43,4.43,4.74,4.43
210,GW60009H,active,0,Gewiss,4.91,4.91,5.26,4.91
211,GW60012H,active,1,Gewiss,5.81,5.81,6.23,5.81
212,GW60015H,active,1,Gewiss,5.81,5.81,6.23,5.81
213,GW60019H,active,1,Gewiss,6.19,6.19,6.63,6.19
