id,title,status,is_featured,brand,discount,default price,iebg price,kellihers price,independence price,ewl price
89,GW20208,active,1,Gewiss,0.0,6.11,0,0,0,0
90,GW20503,active,1,Gewiss,0.0,0.0,0,0,0,0
91,GW20504,active,0,Gewiss,0.0,0.0,0,0,0,0
92,GW20510,active,0,Gewiss,0.0,0.0,0,0,0,0
93,GW20512,active,1,Gewiss,0.0,0.0,0,0,0,0
94,GW20521,active,0,Gewiss,0.0,0.0,0,0,0,0
95,GW20528,active,1,Gewiss,0.0,0.0,0,0,0,0
96,GW20571,active,1,Gewiss,0.0,0.0,0,0,0,0
97,GW20572,active,1,Gewiss,0.0,0.0,0,0,0,0
98,GW20576,active,0,Gewiss,0.0,2.69,0,0,0,0
99,GW20577,active,0,Gewiss,0.0,4.93,0,0,0,0
100,GW20579,active,1,Gewiss,0.0,0.0,0,0,0,0
101,GW26410,active,1,Gewiss,0.0,0.0,0,0,0,0
102,GW27401,active,0,Gewiss,0.0,0.0,0,0,0,0
103,GW27415,active,0,Gewiss,0.0,0.0,0,0,0,0
104,GW27416,active,0,Gewiss,0.0,0.0,0,0,0,0
105,GW27417,active,0,Gewiss,0.0,0.0,0,0,0,0
106,GW27418,active,0,Gewiss,0.0,0.0,0,0,0,0
107,GW27419,active,1,Gewiss,0.0,0.0,0,0,0,0
108,GW27831,active,0,Gewiss,0.0,4.83,0,0,0,0
109,GW27832,active,1,Gewiss,0.0,6.68,0,0,0,0
110,GW27833,active,0,Gewiss,0.0,5.24,0,0,0,0
111,GW27834,active,1,Gewiss,0.0,7.79,0,0,0,0
112,GW27843,active,1,Gewiss,0.0,8.4,0,0,0,0
113,GW40001,active,0,Gewiss,0.0,10.16,0,0,0,0
114,GW40003,active,0,Gewiss,0.0,13.99,0,0,0,0
115,GW40005,active,0,Gewiss,0.0,0.0,0,0,0,0
116,GW40009,active,1,Gewiss,0.0,0.0,0,0,0,0
117,GW40022,active,0,Gewiss,0.0,2.37,0,0,0,0
118,GW40023,active,0,Gewiss,0.0,3.41,0,0,0,0
119,GW40024,active,1,Gewiss,0.0,0.0,0,0,0,0
120,GW40026,active,0,Gewiss,0.0,0.0,0,0,0,0
121,GW40028,active,1,Gewiss,0.0,0.0,0,0,0,0
122,GW40030,active,0,Gewiss,0.0,0.0,0,0,0,0
123,GW40032,active,1,Gewiss,0.0,0.0,0,0,0,0
124,GW40101,active,1,Gewiss,0.0,0.0,0,0,0,0
125,GW40102,active,1,Gewiss,0.0,17.13,0,0,0,0
126,GW40103,active,0,Gewiss,0.0,0.0,0,0,0,0
127,GW40104,active,0,Gewiss,0.0,0.0,0,0,0,0
128,GW40105,active,1,Gewiss,0.0,0.0,0,0,0,0
129,GW40106,active,1,Gewiss,0.0,0.0,0,0,0,0
130,GW40107,active,0,Gewiss,0.0,0.0,0,0,0,0
131,GW40108,active,1,Gewiss,0.0,0.0,0,0,0,0
132,GW40109,active,1,Gewiss,0.0,0.0,0,0,0,0
133,GW40113,active,1,Gewiss,0.0,44.13,0,0,0,0
134,GW40114,active,1,Gewiss,0.0,0.0,0,0,0,0
135,GW40115,active,0,Gewiss,0.0,0.0,0,0,0,0
136,GW40123,active,1,Gewiss,0.0,0.0,0,0,0,0
137,GW40124,active,1,Gewiss,0.0,0.0,0,0,0,0
138,GW40401,active,0,Gewiss,0.0,6.55,0,0,0,0
139,GW40402,active,1,Gewiss,0.0,0.0,0,0,0,0
140,GW40404,active,1,Gewiss,0.0,0.0,0,0,0,0
141,GW40601,active,1,Gewiss,0.0,0.0,0,0,0,0
142,GW40602,active,1,Gewiss,0.0,0.0,0,0,0,0
143,GW40603,active,0,Gewiss,0.0,0.0,0,0,0,0
144,GW40604,active,1,Gewiss,0.0,0.0,0,0,0,0
145,GW40605,active,0,Gewiss,0.0,0.0,0,0,0,0
146,GW40608,active,0,Gewiss,0.0,0.0,0,0,0,0
147,GW44001,active,1,Gewiss,0.0,0.92,0,0,0,0
148,GW44002,active,1,Gewiss,0.0,1.17,0,0,0,0
149,GW44003,active,0,Gewiss,0.0,1.4,0,0,0,0
150,GW44004,active,0,Gewiss,0.0,2.72,0,0,0,0
151,GW44005,active,1,Gewiss,0.0,2.97,0,0,0,0
152,GW44006,active,0,Gewiss,0.0,4.51,0,0,0,0
153,GW44007,active,1,Gewiss,0.0,8.63,0,0,0,0
154,GW44008,active,1,Gewiss,0.0,0.0,0,0,0,0
155,GW44009,active,1,Gewiss,0.0,0.0,0,0,0,0
156,GW44010,active,0,Gewiss,0.0,0.0,0,0,0,0
157,GW44011,active,1,Gewiss,0.0,0.0,0,0,0,0
158,GW44024,active,1,Gewiss,0.0,0.0,0,0,0,0
159,GW44026,active,1,Gewiss,0.0,0.0,0,0,0,0
160,GW44051,active,1,Gewiss,0.0,0.0,0,0,0,0
161,GW44053,active,1,Gewiss,0.0,0.0,0,0,0,0
162,GW44054,active,1,Gewiss,0.0,0.0,0,0,0,0
163,GW44056,active,0,Gewiss,0.0,0.0,0,0,0,0
164,GW44057,active,0,Gewiss,0.0,0.0,0,0,0,0
165,GW44058,active,1,Gewiss,0.0,0.0,0,0,0,0
166,GW44204,active,0,Gewiss,0.0,2.03,0,0,0,0
167,GW44205,active,1,Gewiss,0.0,2.08,0,0,0,0
168,GW44206,active,1,Gewiss,0.0,3.01,0,0,0,0
169,GW44207,active,0,Gewiss,0.0,6.04,0,0,0,0
170,GW44208,active,1,Gewiss,0.0,9.89,0,0,0,0
171,GW44209,active,1,Gewiss,0.0,17.51,0,0,0,0
172,GW44210,active,0,Gewiss,0.0,25.41,0,0,0,0
173,GW44211,active,0,Gewiss,0.0,38.03,0,0,0,0
174,GW44214,active,1,Gewiss,0.0,3.89,0,0,0,0
175,GW44215,active,0,Gewiss,0.0,3.89,0,0,0,0
176,GW44216,active,0,Gewiss,0.0,5.83,0,0,0,0
177,GW44217,active,1,Gewiss,0.0,9.97,0,0,0,0
178,GW44218,active,0,Gewiss,0.0,15.4,0,0,0,0
179,GW44219,active,0,Gewiss,0.0,26.49,0,0,0,0
180,GW44220,active,0,Gewiss,0.0,35.51,0,0,0,0
181,GW44221,active,0,Gewiss,0.0,51.24,0,0,0,0
182,GW44234,active,1,Gewiss,0.0,0.0,0,0,0,0
183,GW44236,active,0,Gewiss,0.0,0.0,0,0,0,0
184,GW44426,active,0,Gewiss,0.0,0.0,0,0,0,0
185,GW44427,active,0,Gewiss,0.0,0.0,0,0,0,0
186,GW44428,active,1,Gewiss,0.0,0.0,0,0,0,0
187,GW44429,active,0,Gewiss,0.0,0.0,0,0,0,0
188,GW44430,active,1,Gewiss,0.0,0.0,0,0,0,0
189,GW44431,active,1,Gewiss,0.0,0.0,0,0,0,0
190,GW44436,active,1,Gewiss,0.0,0.0,0,0,0,0
191,GW44437,active,0,Gewiss,0.0,0.0,0,0,0,0
192,GW44438,active,1,Gewiss,0.0,0.0,0,0,0,0
193,GW44439,active,1,Gewiss,0.0,0.0,0,0,0,0
194,GW44440,active,1,Gewiss,0.0,0.0,0,0,0,0
195,GW44441,active,1,Gewiss,0.0,0.0,0,0,0,0
196,GW44615,active,1,Gewiss,0.0,0.0,0,0,0,0
197,GW44616,active,0,Gewiss,0.0,0.0,0,0,0,0
198,GW44617,active,0,Gewiss,0.0,0.0,0,0,0,0
199,GW44618,active,0,Gewiss,0.0,0.0,0,0,0,0
200,GW44619,active,0,Gewiss,0.0,0.0,0,0,0,0
201,GW44621,active,0,Gewiss,0.0,0.0,0,0,0,0
202,GW50428,active,0,Gewiss,0.0,0.0,0,0,0,0
203,GW50429,active,1,Gewiss,0.0,0.0,0,0,0,0
204,GW50430,active,1,Gewiss,0.0,0.0,0,0,0,0
205,GW50431,active,1,Gewiss,0.0,0.0,0,0,0,0
206,GW50432,active,1,Gewiss,0.0,0.0,0,0,0,0
207,GW60001H,active,1,Gewiss,0.0,1.85,0,0,0,0
208,GW60004H,active,0,Gewiss,0.0,1.85,0,0,0,0
209,GW60008H,active,1,Gewiss,0.0,4.43,0,0,0,0
210,GW60009H,active,0,Gewiss,0.0,4.91,0,0,0,0
211,GW60012H,active,1,Gewiss,0.0,5.81,0,0,0,0
212,GW60015H,active,1,Gewiss,0.0,5.81,0,0,0,0
213,GW60019H,active,1,Gewiss,0.0,6.19,0,0,0,0
214,GW60020H,active,1,Gewiss,0.0,6.48,0,0,0,0
215,GW60023H,active,0,Gewiss,0.0,6.19,0,0,0,0
216,GW60026H,active,1,Gewiss,0.0,4.67,0,0,0,0
217,GW60030H,active,1,Gewiss,0.0,8.13,0,0,0,0
218,GW60031H,active,1,Gewiss,0.0,9.09,0,0,0,0
219,GW60034H,active,1,Gewiss,0.0,9.89,0,0,0,0
220,GW60037H,active,1,Gewiss,0.0,6.36,0,0,0,0
221,GW60041H,active,0,Gewiss,0.0,11.41,0,0,0,0
222,GW60042H,active,0,Gewiss,0.0,12.0,0,0,0,0
223,GW60060H,active,1,Gewiss,0.0,0.0,0,0,0,0
224,GW60061H,active,1,Gewiss,0.0,0.0,0,0,0,0
225,GW60065,active,1,Gewiss,0.0,0.0,0,0,0,0
226,GW60066,active,0,Gewiss,0.0,0.0,0,0,0,0
227,GW60067,active,1,Gewiss,0.0,0.0,0,0,0,0
228,GW60068,active,1,Gewiss,0.0,0.0,0,0,0,0
229,GW60069,active,1,Gewiss,0.0,0.0,0,0,0,0
230,GW60070,active,0,Gewiss,0.0,0.0,0,0,0,0
231,GW60071,active,0,Gewiss,0.0,0.0,0,0,0,0
232,GW60072,active,1,Gewiss,0.0,0.0,0,0,0,0
233,GW60073,active,0,Gewiss,0.0,0.0,0,0,0,0
234,GW60074,active,1,Gewiss,0.0,0.0,0,0,0,0
235,GW60075,active,0,Gewiss,0.0,0.0,0,0,0,0
236,GW60076,active,1,Gewiss,0.0,0.0,0,0,0,0
237,GW60077,active,1,Gewiss,0.0,0.0,0,0,0,0
238,GW60078,active,0,Gewiss,0.0,0.0,0,0,0,0
239,GW60079,active,0,Gewiss,0.0,0.0,0,0,0,0
240,GW60080,active,1,Gewiss,0.0,0.0,0,0,0,0
241,GW60081,active,0,Gewiss,0.0,0.0,0,0,0,0
242,GW60223,active,1,Gewiss,0.0,0.0,0,0,0,0
243,GW60226,active,0,Gewiss,0.0,0.0,0,0,0,0
244,GW60230,active,0,Gewiss,0.0,0.0,0,0,0,0
245,GW60231,active,1,Gewiss,0.0,0.0,0,0,0,0
246,GW60234,active,0,Gewiss,0.0,0.0,0,0,0,0
247,GW60237,active,0,Gewiss,0.0,0.0,0,0,0,0
248,GW60241,active,0,Gewiss,0.0,0.0,0,0,0,0
249,GW60242,active,1,Gewiss,0.0,0.0,0,0,0,0
250,GW60263,active,0,Gewiss,0.0,0.0,0,0,0,0
251,GW60264,active,1,Gewiss,0.0,0.0,0,0,0,0
252,GW60265,active,0,Gewiss,0.0,0.0,0,0,0,0
253,GW60266,active,1,Gewiss,0.0,0.0,0,0,0,0
254,GW60267,active,0,Gewiss,0.0,0.0,0,0,0,0
255,GW60401,active,0,Gewiss,0.0,4.65,0,0,0,0
256,GW60404,active,0,Gewiss,0.0,0.0,0,0,0,0
257,GW60408,active,1,Gewiss,0.0,0.0,0,0,0,0
258,GW60409,active,0,Gewiss,0.0,0.0,0,0,0,0
259,GW60412,active,1,Gewiss,0.0,0.0,0,0,0,0
260,GW60415,active,0,Gewiss,0.0,0.0,0,0,0,0
261,GW60419,active,0,Gewiss,0.0,0.0,0,0,0,0
262,GW60420,active,0,Gewiss,0.0,0.0,0,0,0,0
263,GW60423,active,1,Gewiss,0.0,0.0,0,0,0,0
264,GW60426,active,1,Gewiss,0.0,7.89,0,0,0,0
265,GW60430,active,0,Gewiss,0.0,0.0,0,0,0,0
266,GW60431,active,1,Gewiss,0.0,10.13,0,0,0,0
267,GW60434,active,0,Gewiss,0.0,0.0,0,0,0,0
268,GW60437,active,0,Gewiss,0.0,11.31,0,0,0,0
269,GW60441,active,0,Gewiss,0.0,0.0,0,0,0,0
270,GW60442,active,0,Gewiss,0.0,12.93,0,0,0,0
271,GW60460,active,0,Gewiss,0.0,0.0,0,0,0,0
272,GW60461,active,1,Gewiss,0.0,0.0,0,0,0,0
273,GW61048H,active,1,Gewiss,0.0,42.8,0,0,0,0
274,GW61052H,active,1,Gewiss,0.0,45.6,0,0,0,0
275,GW61053H,active,0,Gewiss,0.0,50.0,0,0,0,0
276,GW61448,active,0,Gewiss,0.0,27.11,0,0,0,0
277,GW61452,active,1,Gewiss,0.0,0.0,0,0,0,0
278,GW61453,active,1,Gewiss,0.0,31.92,0,0,0,0
279,GW62001H,active,0,Gewiss,0.0,2.73,0,0,0,0
280,GW62004H,active,0,Gewiss,0.0,2.73,0,0,0,0
281,GW62008H,active,1,Gewiss,0.0,6.19,0,0,0,0
282,GW62009H,active,1,Gewiss,0.0,6.8,0,0,0,0
283,GW62012H,active,0,Gewiss,0.0,8.0,0,0,0,0
284,GW62015H,active,0,Gewiss,0.0,8.0,0,0,0,0
285,GW62019H,active,1,Gewiss,0.0,8.45,0,0,0,0
286,GW62020H,active,0,Gewiss,0.0,8.8,0,0,0,0
287,GW62023H,active,1,Gewiss,0.0,8.29,0,0,0,0
288,GW62026H,active,0,Gewiss,0.0,7.93,0,0,0,0
289,GW62030H,active,1,Gewiss,0.0,11.41,0,0,0,0
290,GW62031H,active,0,Gewiss,0.0,12.59,0,0,0,0
291,GW62034H,active,0,Gewiss,0.0,13.89,0,0,0,0
292,GW62037H,active,0,Gewiss,0.0,10.89,0,0,0,0
293,GW62041H,active,0,Gewiss,0.0,15.63,0,0,0,0
294,GW62042H,active,1,Gewiss,0.0,16.27,0,0,0,0
295,GW62060H,active,1,Gewiss,0.0,0.0,0,0,0,0
296,GW62061H,active,0,Gewiss,0.0,0.0,0,0,0,0
297,GW62064,active,1,Gewiss,0.0,0.0,0,0,0,0
298,GW62065,active,1,Gewiss,0.0,0.0,0,0,0,0
299,GW62066,active,0,Gewiss,0.0,0.0,0,0,0,0
300,GW62067,active,0,Gewiss,0.0,0.0,0,0,0,0
301,GW62073,active,1,Gewiss,0.0,0.0,0,0,0,0
302,GW62074,active,0,Gewiss,0.0,0.0,0,0,0,0
303,GW62075,active,1,Gewiss,0.0,0.0,0,0,0,0
304,GW62076,active,1,Gewiss,0.0,0.0,0,0,0,0
305,GW62201H,active,1,Gewiss,0.0,0.0,0,0,0,0
306,GW62205H,active,1,Gewiss,0.0,0.0,0,0,0,0
307,GW62208H,active,1,Gewiss,0.0,0.0,0,0,0,0
308,GW62209H,active,1,Gewiss,0.0,0.0,0,0,0,0
309,GW62210H,active,1,Gewiss,0.0,0.0,0,0,0,0
310,GW62213H,active,0,Gewiss,0.0,0.0,0,0,0,0
311,GW62216H,active,0,Gewiss,0.0,0.0,0,0,0,0
312,GW62219H,active,0,Gewiss,0.0,0.0,0,0,0,0
313,GW62220H,active,1,Gewiss,0.0,0.0,0,0,0,0
314,GW62221H,active,1,Gewiss,0.0,0.0,0,0,0,0
315,GW62224H,active,0,Gewiss,0.0,8.69,0,0,0,0
316,GW62227H,active,0,Gewiss,0.0,8.69,0,0,0,0
317,GW62231H,active,1,Gewiss,0.0,0.0,0,0,0,0
318,GW62232H,active,1,Gewiss,0.0,0.0,0,0,0,0
319,GW62235H,active,0,Gewiss,0.0,0.0,0,0,0,0
320,GW62238H,active,1,Gewiss,0.0,0.0,0,0,0,0
321,GW62242H,active,0,Gewiss,0.0,0.0,0,0,0,0
322,GW62243H,active,1,Gewiss,0.0,0.0,0,0,0,0
323,GW62260H,active,0,Gewiss,0.0,0.0,0,0,0,0
324,GW62261H,active,1,Gewiss,0.0,0.0,0,0,0,0
325,GW62262H,active,1,Gewiss,0.0,0.0,0,0,0,0
326,GW62265,active,1,Gewiss,0.0,0.0,0,0,0,0
327,GW62266,active,0,Gewiss,0.0,0.0,0,0,0,0
328,GW62267,active,0,Gewiss,0.0,0.0,0,0,0,0
329,GW62268,active,1,Gewiss,0.0,0.0,0,0,0,0
330,GW62401,active,1,Gewiss,0.0,5.71,0,0,0,0
331,GW62404,active,1,Gewiss,0.0,5.71,0,0,0,0
332,GW62408,active,1,Gewiss,0.0,0.0,0,0,0,0
333,GW62409,active,1,Gewiss,0.0,6.77,0,0,0,0
334,GW62412,active,1,Gewiss,0.0,0.0,0,0,0,0
335,GW62415,active,1,Gewiss,0.0,8.85,0,0,0,0
336,GW62419,active,0,Gewiss,0.0,0.0,0,0,0,0
337,GW62420,active,1,Gewiss,0.0,10.31,0,0,0,0
338,GW62423,active,1,Gewiss,0.0,9.75,0,0,0,0
339,GW62426,active,0,Gewiss,0.0,9.07,0,0,0,0
340,GW62430,active,1,Gewiss,0.0,9.75,0,0,0,0
341,GW62431,active,0,Gewiss,0.0,10.81,0,0,0,0
342,GW62434,active,0,Gewiss,0.0,0.0,0,0,0,0
343,GW62437,active,1,Gewiss,0.0,13.49,0,0,0,0
344,GW62441,active,1,Gewiss,0.0,14.11,0,0,0,0
345,GW62442,active,1,Gewiss,0.0,15.07,0,0,0,0
346,GW62456,active,0,Gewiss,0.0,0.0,0,0,0,0
347,GW62457,active,0,Gewiss,0.0,0.0,0,0,0,0
348,GW62458,active,0,Gewiss,0.0,0.0,0,0,0,0
349,GW62459,active,1,Gewiss,0.0,0.0,0,0,0,0
350,GW62474,active,1,Gewiss,0.0,0.0,0,0,0,0
351,GW62477,active,0,Gewiss,0.0,0.0,0,0,0,0
352,GW62481,active,0,Gewiss,0.0,0.0,0,0,0,0
353,GW62482,active,1,Gewiss,0.0,0.0,0,0,0,0
354,GW62485,active,0,Gewiss,0.0,0.0,0,0,0,0
355,GW62488,active,0,Gewiss,0.0,0.0,0,0,0,0
356,GW62492,active,1,Gewiss,0.0,0.0,0,0,0,0
357,GW62493,active,0,Gewiss,0.0,0.0,0,0,0,0
358,GW62496,active,0,Gewiss,0.0,13.49,0,0,0,0
359,GW62499,active,0,Gewiss,0.0,11.53,0,0,0,0
360,GW62504,active,0,Gewiss,0.0,12.43,0,0,0,0
361,GW62505,active,0,Gewiss,0.0,13.49,0,0,0,0
362,GW62508,active,0,Gewiss,0.0,0.0,0,0,0,0
363,GW62511,active,1,Gewiss,0.0,16.13,0,0,0,0
364,GW62515,active,0,Gewiss,0.0,16.57,0,0,0,0
365,GW62516,active,1,Gewiss,0.0,18.25,0,0,0,0
366,GW62534,active,1,Gewiss,0.0,0.0,0,0,0,0
367,GW62535,active,1,Gewiss,0.0,0.0,0,0,0,0
368,GW63045H,active,0,Gewiss,0.0,0.0,0,0,0,0
369,GW63048H,active,1,Gewiss,0.0,0.0,0,0,0,0
370,GW63049H,active,1,Gewiss,0.0,0.0,0,0,0,0
371,GW63050H,active,0,Gewiss,0.0,0.0,0,0,0,0
372,GW63052H,active,0,Gewiss,0.0,53.6,0,0,0,0
373,GW63053H,active,1,Gewiss,0.0,54.8,0,0,0,0
374,GW63246H,active,0,Gewiss,0.0,0.0,0,0,0,0
